,brr1_PredVol
0,0.19962723770730878
1,0.18949586096966442
2,0.20106661853467378
3,0.1759746981322662
4,0.08790747262956365
5,0.11766916051159289
6,0.15698593861710392
7,0.16340987655962733
8,0.1302658738137939
9,0.14270003417773114
10,0.15280894281091567
11,0.16158626349164362
12,0.16835674343101317
13,0.1636500780209351
14,0.16263615319690303
15,0.15554622258999462
16,0.163915500272771
17,0.14474993164893227
18,0.1418013767668439
19,0.1651821789501317
20,0.1651832680254165
21,0.24614526862315467
22,0.20402055754596
23,0.1598772918421151
24,0.15152915629491304
25,0.1573713710128615
26,0.1260449572777054
27,0.15426737516364708
28,0.16872984781135483
29,0.15124541230075528
30,0.15143063380256316
31,0.1662888651490696
32,0.1588421817114311
33,0.13340149541652407
34,0.13616607426578575
35,0.13068447445495449
36,0.14392851195350703
37,0.13287360798093145
38,0.09785767663701343
39,0.07871171466488529
40,0.08555496048228019
41,0.09920815796291976
42,0.10906386041524768
43,0.10129306844826365
44,0.07690635565765906
45,0.09431196179572479
46,0.1099291735244149
47,0.11716126653856537
48,0.1173845803791488
49,0.12193786718430728
50,0.1141538367854042
51,0.11404602742074596
52,0.11255711133374327
53,0.12446351135923281
54,0.10970528069520216
55,0.10917978789405289
56,0.12108550283372714
57,0.11015679200341441
58,0.10331613574469795
59,0.1023573972292459
60,0.10380544873456767
61,0.12901726199057872
62,0.11183077714024316
63,0.10982509236489472
64,0.11881450577750768
65,0.12020408713259155
66,0.115217818583316
67,0.11816804550159207
68,0.12164741460503298
69,0.11042190575611002
70,0.13746701513734436
71,0.11214751353261078
72,0.10723640703607511
73,0.11081736588529852
74,0.10945624128347475
75,0.11159587275349453
76,0.12311402191633566
77,0.12787698944289758
78,0.10632883239645072
79,0.09732426584154456
80,0.12529157360133147
81,0.12275670102687056
82,0.10734243823292001
83,0.1031860317106767
84,0.11213950058215168
85,0.10593938163383136
86,0.11882677934938801
87,0.11181755146585501
88,0.09945359116344624
89,0.10150529427901431
90,0.11518624838035134
91,0.11898813934297087
92,0.115406126972346
93,0.11176041400551827
94,0.10430331811367792
95,0.10855819651839933
96,0.11080431022929559
97,0.11426840179624469
98,0.11053813263698657
99,0.09980559535593082
100,0.10625262949439307
101,0.10465218565878966
102,0.12008931876867808
103,0.11350517574582891
104,0.1096772187838391
105,0.1034747320529413
106,0.10773565883909979
107,0.11185780586570564
108,0.105469651018918
109,0.10214502717130515
110,0.11415935659707355
111,0.11525503870335266
112,0.10277552366840602
113,0.09382979270649572
114,0.09033543103692418
115,0.10273252027874098
116,0.10263589768661253
117,0.11216208921217279
118,0.10347629075055627
119,0.10402973518880107
120,0.09653165800660188
121,0.09368993595713568
122,0.09711890017097508
123,0.08955775961512108
124,0.09033315255180138
125,0.0991871198101756
126,0.09573755248247053
127,0.08524380961552418
128,0.08710836180073779
129,0.07679481617872518
130,0.10368581219540435
131,0.09170763882128759
132,0.08151830441538069
133,0.08248184936244586
134,0.09587665512972118
135,0.09384656565363063
136,0.10028057521629563
137,0.10996188888951612
138,0.1072884949062075
139,0.1010181292065465
140,0.10854688587404311
