,MSE,QL
AUDUSD,0.00051635,0.019537828
CADUSD,0.000217637,0.017484377
CHFUSD,0.000431262,0.020856606
EURUSD,0.000416694,0.023573707
GBPUSD,0.000778014,0.055323551
JPYUSD,0.001117363,0.031460542
NOKUSD,0.000519573,0.018291069
NZDUSD,0.000505495,0.017077416
SEKUSD,0.000492937,0.012563695
Sum of MSE/QL,0.004995326,0.216168792
