,MSE,QL
AUDUSD,0.000533641,0.020097128
CADUSD,0.000982323,0.06604107
CHFUSD,0.000460338,0.022395481
EURUSD,0.000413039,0.023541324
GBPUSD,0.000352828,0.028642702
JPYUSD,0.003398025,0.07511476
NOKUSD,0.000532675,0.020109025
NZDUSD,0.000545454,0.018203124
SEKUSD,0.000453886,0.012144946
Sum of MSE/QL,0.007672207,0.286289561
