"","MSE","QL"
"AUDUSD",0.000609820577460931,0.02258078961483
"CADUSD",0.000307927616469957,0.0233248463647889
"CHFUSD",0.00053650459958762,0.0253080468662618
"EURUSD",0.000417968785852907,0.0243120460819404
"GBPUSD",0.000510084299284846,0.0384953735540416
"JPYUSD",0.0017169502564536,0.0458573912787287
"NOKUSD",0.000497859511313755,0.0180095408545962
"NZDUSD",0.000662199067554271,0.0207142541110585
"SEKUSD",0.000478728659537136,0.0119632896940913
