"","lambda","MSE"
"1",0.01,0.000702313572075593
"2",0.06,0.000710015174125285
"3",0.11,0.000712467465475517
"4",0.16,0.000714701927937894
"5",0.21,0.000716938147056115
"6",0.26,0.000719716748050079
"7",0.31,0.000725981138354232
"8",0.36,0.000730288473013969
"9",0.41,0.000733472019914249
"10",0.46,0.000736661392643834
"11",0.51,0.000741524452138816
"12",0.56,0.000746881473764418
"13",0.61,0.000749652631106056
"14",0.66,0.000751492484403856
"15",0.71,0.000753334230278687
"16",0.76,0.000755731266973565
"17",0.81,0.000762693733603745
"18",0.86,0.000769682935935756
"19",0.91,0.000776698806980342
"20",0.96,0.0007837412798677
"21",1.01,0.000790810287847247
"22",1.06,0.000792493594745116
"23",1.11,0.000792331977295576
"24",1.16,0.000792170373598912
"25",1.21,0.000792008783655936
"26",1.26,0.000791847207467412
"27",1.31,0.000791685645034143
"28",1.36,0.000791524096356915
"29",1.41,0.000791362561436522
"30",1.46,0.00079120104027373
"31",1.51,0.000791039532869364
"32",1.56,0.000790878039224179
"33",1.61,0.0007906949371714
"34",1.66,0.000790478128042306
"35",1.71,0.00079026134372709
"36",1.76,0.000790044584227656
"37",1.81,0.000789994250435342
"38",1.86,0.000791161456960393
"39",1.91,0.000792329382493028
"40",1.96,0.000793498026735214
"41",3,0.000795640662838996
"42",4,0.00079061522022249
"43",5,0.000770707448584993
"44",6,0.000749740994059553
"45",7,0.000729017858326206
"46",8,0.000708539880399075
"47",9,0.000688308909186339
"48",10,0.000668326803538002
"49",11,0.000650717780871907
"50",12,0.000634104154907814
"51",13,0.000617674437765347
"52",14,0.000618126674734352
"53",15,0.000623658322027672
"54",16,0.000629211043961229
"55",17,0.000634784795511237
"56",18,0.000640379531722947
"57",19,0.00064599520771086
"58",20,0.000651631778658365
"59",21,0.000657289199817918
"60",22,0.000662967426510683
"61",23,0.000667246710284355
"62",24,0.000670319300266438
"63",25,0.000673397885609739
"64",26,0.000676482459384576
"65",27,0.000679573014666993
"66",28,0.00068266954453882
"67",29,0.000685772042087508
"68",30,0.000688880500406411
"69",31,0.000691994912594393
"70",32,0.000695115271756312
"71",33,0.000698241571002427
"72",34,0.000701373803448961
"73",35,0.000713968747342102
"74",36,0.00073415699619411
"75",37,0.000754581603921745
"76",38,0.000775240826974138
"77",39,0.000796132930976661
"78",40,0.000817256190687488
"79",41,0.000838608889954085
"80",42,0.000860189321670231
"81",43,0.000880866206155592
"82",44,0.000898414989858385
"83",45,0.000916105764159735
"84",46,0.000933239437584031
"85",47,0.000930705369955537
"86",48,0.000928174121238428
"87",49,0.000925645693837756
"88",50,0.000923120090160004
"89",51,0.000920597312612977
"90",52,0.000918077363606106
"91",53,0.000915560245550115
"92",54,0.000913045960857205
"93",55,0.00090970172523373
"94",56,0.000905077486725005
"95",57,0.000904906505673429
"96",58,0.000904735537883115
"97",59,0.000904564583354907
"98",60,0.000904393642089448
"99",61,0.000904222714087656
"100",62,0.000904051799350195
"101",63,0.000903880897877917
"102",64,0.000903710009671555
"103",65,0.000903539134731825
"104",66,0.000903368273059624
"105",67,0.000903197424655517
"106",68,0.000903026589520504
"107",69,0.000902855767655328
"108",70,0.000902684959060364
"109",71,0.000902514163736996
"110",72,0.000902343381685712
"111",73,0.000902172612907093
"112",74,0.000902001857402307
"113",75,0.0009018311151717
"114",76,0.000901660386216464
"115",77,0.000901489670537041
"116",78,0.000901318968134304
"117",79,0.000901148279009034
"118",80,0.000900977603162042
"119",81,0.000900806940594167
"120",82,0.000900636291305898
"121",83,0.00090046565529828
"122",84,0.00090029503257203
"123",85,0.000908350441274724
"124",86,0.0009167742929445
"125",87,0.000925229986366504
"126",88,0.000933717430696964
"127",89,0.000942236535274393
"128",90,0.000950787209619199
"129",91,0.000959369363433422
"130",92,0.000967982906600349
"131",93,0.000976627749184218
"132",94,0.000985303801429892
"133",95,0.000989382038097683
"134",96,0.000989382038097683
"135",97,0.000989382038097683
"136",98,0.000989382038097683
"137",99,0.000989382038097683
"138",100,0.000989382038097683
