,Volatility_Time,Volatility_Time.1,Volatility_Time.2,Volatility_Time.3,Volatility_Time.4,Volatility_Time.5,Volatility_Time.6
0,-13.295707127945231,-12.235906858878685,-7.619087028054524,-8.896544187635596,-8.89205851534107,-12.456717089387034,-13.31036886508997
1,-5.949607879792966,-8.208691205002863,-8.509660134065482,-6.27180480134497,-9.789427764891089,-6.03899201470718,-5.8281020238558
2,-6.214024710118156,-10.163824557339579,-9.356992503246628,-7.281307374705484,-8.152732213823636,-7.375645827402326,-6.310821555374814
3,-4.094957793233346,-4.44259303846944,-4.144754206817562,-4.333100111347311,-5.087297432122279,-4.324525672742162,-4.059397982246046
4,-6.4017799561216435,-7.5129489896590975,-5.936799584689303,-6.3761435372014414,-7.906628141125983,-6.628842098852726,-6.958237172726284
5,-6.883819030445062,-7.113181842812169,-6.42963683968647,-6.586933328426714,-7.20229293019042,-6.183987911946654,-6.297809444451433
6,-6.26950950932763,-12.79445826552212,-9.63701361642019,-8.024104377338233,-9.643470024380875,-7.759623181479669,-7.456393278564015
7,-7.832528045047417,-8.706462346596012,-8.132818182491661,-12.694854619767499,-11.414598194425274,-7.953123613116239,-10.014615527075899
8,-8.111704849440965,-11.149446408026735,-8.339684200944788,-8.45340458946374,-10.069338870955256,-6.97465403331179,-6.760258745012423
9,-9.609306644089656,-9.832011751965434,-12.913511154546798,-15.111226379610986,-8.020949548697967,-11.233075144242495,-12.870846028236624
10,-9.169505374004682,-8.745898980554353,-13.701232623618692,-10.58055023146533,-9.993515192491444,-12.289592383993352,-7.112813598687008
11,-7.404739453579001,-8.258376272730079,-12.274061088655529,-9.714393191174796,-12.066327535083413,-11.936310411176631,-9.564355510330216
12,-12.0492244194674,-8.555998284026098,-11.583295667252772,-8.385545175401106,-10.944539914088878,-9.678555107762826,-10.98706878092386
13,-10.955645329667599,-13.73808449404907,-8.666314212576983,-11.249742730813717,-11.442383953700096,-8.216231868462568,-8.785459942154002
14,-8.412384589926786,-9.618231388526931,-6.795231266227218,-7.840977660830557,-8.706844535971529,-8.110830576779753,-7.661306014106646
15,-8.838976069411656,-11.072813602855463,-8.861582383862295,-12.123134385176767,-10.597658402904203,-9.356613448802852,-7.623977067400584
16,-6.773502475849333,-6.736005530066457,-8.673265167820025,-6.964551050533646,-8.327386027246376,-7.201777734368814,-6.787347717203521
17,-10.400744756991216,-9.59897960801985,-12.509855978317379,-11.044132042577465,-13.676956359225777,-8.487992663708589,-10.313100631234242
18,-6.4094471316975135,-9.753841578576335,-8.527275091754033,-8.175025690615534,-10.6139473518447,-7.367651671270765,-5.858655336179497
19,-14.261884632349453,-10.043153219667401,-10.899859153107966,-10.157042556458148,-10.240312104561001,-9.006911191263901,-14.294651811035168
20,-3.0519642867313013,-5.062334252092068,-5.161102375545157,-4.647106187451707,-6.06563005231677,-4.245273047202829,-3.7613363452200375
21,-5.890160749508341,-6.614481137741244,-7.739313789049825,-6.867675743569209,-9.058938060091014,-6.8944624200238644,-6.353367040814556
22,-5.903326320414433,-8.273684519090441,-8.625900385619245,-6.862512431317181,-6.936401500219025,-6.752111014853229,-5.6760159553623515
23,-7.174772671897456,-7.405516380731469,-7.319139201118791,-8.678172260603358,-12.610657797885466,-8.818048033697446,-16.285489388349774
24,-7.669245583774413,-10.405273325316136,-8.140783841703966,-7.2191040532430275,-8.349751337513554,-7.104150881128021,-7.989779432255859
25,-5.909934948007079,-6.605938917521534,-7.338716299080629,-7.476678642499161,-13.73450557502097,-7.045184980083893,-6.104231210745593
26,-5.783511738149052,-7.479016588815696,-10.099358007973045,-7.666624027688527,-11.635909740619974,-11.306957193849017,-6.599499142773966
27,-7.290581443851405,-8.091260614944481,-8.686729167277486,-10.73349629708601,-9.586903587107344,-6.709857171696205,-7.669687565153959
28,-8.588645487420033,-8.787779603294718,-9.888107465663193,-15.594892080880616,-10.333425042895644,-7.960009168456227,-11.018766737074214
29,-9.033438609474036,-10.663867713143597,-8.358935836084612,-7.669937572960431,-10.485433043530021,-7.4428101841401855,-15.631801035296741
30,-8.464470929799772,-12.688247297310705,-9.441803249983405,-13.863957196064977,-9.5336517792593,-7.7377524130395825,-8.724129070081727
31,-8.85023903286834,-11.095889884710173,-7.329575291702123,-8.470130173159594,-10.599743676679333,-7.237011400941575,-7.7593773741819545
32,-6.427720233508452,-7.985454330447466,-6.289547704057159,-7.173763356784541,-7.570950089353555,-7.052852363857474,-7.381363885254326
33,-14.27910403736561,-7.938584072170864,-7.019240505893098,-7.385411172322383,-10.6700074367162,-13.62223416974233,-11.470635943275216
34,-7.891476355025693,-13.077402213337715,-9.304845064825388,-10.163508602342405,-14.028011852033721,-8.348076077869434,-8.817331929265663
35,-7.40242773569066,-7.9822891689591495,-8.138401995146541,-7.2682750845814175,-8.60709060384884,-7.985396761543197,-7.179977479717421
36,-8.206889980842611,-7.260291325161925,-7.336870473696074,-17.263251649360075,-9.14597179502073,-10.169445302307267,-7.78921870526815
37,-5.784164885299138,-7.968029435077306,-7.450583245088079,-6.917850560992949,-8.060529391964055,-8.692519392907377,-6.3980262852816665
38,-6.524299910202602,-9.571660537867514,-7.521036213134455,-6.8295405515079475,-8.839025247817126,-7.627252958474818,-7.178437669993369
39,-10.152567800264885,-10.452891129678846,-9.688066449464838,-7.85567273023625,-9.541444440620376,-7.5260395850921125,-8.599510965756332
40,-8.356831948447722,-8.646927208971077,-6.951157379612538,-7.807584876953747,-8.80219260070203,-6.528828288355764,-7.316445905654196
