,MSE,QL
AUDUSD,0.000767739,0.028874507
CADUSD,0.000317582,0.02590148
CHFUSD,0.000574391,0.027503171
EURUSD,0.000505123,0.029370696
GBPUSD,0.0006059,0.044121795
JPYUSD,0.00233042,0.0608776
NOKUSD,0.00064125,0.02232575
NZDUSD,0.000760474,0.02480602
SEKUSD,0.000605734,0.014535844
