,pap_PredVol
0,0.176617387916
1,0.142341818709
2,0.187486944803
3,0.131322425799
4,0.0339646636574
5,0.114658318031
6,0.135370882911
7,0.148460538489
8,0.122584886328
9,0.122433007292
10,0.124938824704
11,0.133669600293
12,0.140566898503
13,0.119342290842
14,0.12249621162
15,0.105010572456
16,0.119847517848
17,0.0897990077631
18,0.101165638531
19,0.121247118995
20,0.120676448416
21,0.215948016984
22,0.120016973062
23,0.101175840092
24,0.101247271691
25,0.0867885110075
26,0.0842204901058
27,0.115563266016
28,0.110217680851
29,0.108798597616
30,0.126983134827
31,0.114722739278
32,0.103643811099
33,0.0823321448702
34,0.0724704224626
35,0.0819942230854
36,0.114835797585
37,0.102281136053
38,0.0684170403979
39,0.0480831207381
40,0.0461363136693
41,0.081566283512
42,0.101434513388
43,0.0858433105771
44,0.0604512392008
45,0.0885242211602
46,0.0918067407189
47,0.115098850183
48,0.100358093507
49,0.0988003749658
50,0.0917611479798
51,0.104595497551
52,0.101336840484
53,0.13078618355
54,0.0890942724114
55,0.103372530738
56,0.127171540709
57,0.0991668745854
58,0.103827786899
59,0.0998270290998
60,0.114087918474
61,0.121652538261
62,0.0964458196732
63,0.121548746762
64,0.0921843078494
65,0.104320212065
66,0.125832763744
67,0.121395165762
68,0.117589798448
69,0.111100187916
70,0.114839216609
71,0.099067276321
72,0.115421041295
73,0.0901313555826
74,0.0896454639351
75,0.0997967996782
76,0.111994577683
77,0.112376616675
78,0.0878792572315
79,0.0853119084666
80,0.143882845817
81,0.0869766491603
82,0.0923571040791
83,0.0789957643039
84,0.0922480874683
85,0.089853712071
86,0.10092562869
87,0.0907897411874
88,0.0821123210065
89,0.0927021291868
90,0.0773154611944
91,0.0800957179533
92,0.092720687476
93,0.0901908086461
94,0.0810279825411
95,0.0868389070839
96,0.0900944538229
97,0.0821060283913
98,0.0925329737327
99,0.0759288343268
100,0.0790885922284
101,0.0808760934616
102,0.0869291655736
103,0.090068836256
104,0.0950409315528
105,0.0767215676095
106,0.085413391052
107,0.0833100485799
108,0.0915065734357
109,0.0724454923598
110,0.099330876164
111,0.090071512679
112,0.0708755554401
113,0.0700340316545
114,0.0771170978095
115,0.0949416317184
116,0.0848653627814
117,0.0794674138037
118,0.0714766658477
119,0.100871643314
120,0.0754115479314
121,0.0913313374654
122,0.0827702453189
123,0.0780680796466
124,0.0656470977427
125,0.0649247799217
126,0.0911439840894
127,0.0683133309267
128,0.0844571439424
129,0.0533600271199
130,0.0698191913682
131,0.0862279504171
132,0.0642459118044
133,0.064120124827
134,0.0926274769794
135,0.0784088429427
136,0.0827395933556
137,0.0723933875141
138,0.0732240273994
139,0.0723819625226
140,0.0843991224617
141,0.102392748959
142,0.0952623910679
143,0.0991568836966
144,0.0837179785793
145,0.0906584211479
146,0.103103999425
147,0.108397080003
148,0.0956805711009
149,0.0817080795116
150,0.0877760996156
151,0.098395409335
152,0.0989835228397
153,0.134806157709
154,0.0971884553395
155,0.0989143292432
156,0.0989108726168
157,0.111219603823
158,0.0911135216227
159,0.198733980722
160,0.109325748192
161,0.0946304757664
162,0.0952941392888
163,0.0786596821683
164,0.112771720815
165,0.0878765592713
166,0.117286011286
167,0.10917466412
168,0.0846183158449
169,0.0696492037957
170,0.0936763921948
171,0.0715751248005
172,0.0902725067119
173,0.157325298394
174,0.0771143477063
175,0.0726474422246
176,0.0658895155716
177,0.101505366012
178,0.0750993254021
179,0.079396229187
180,0.0723747209557
181,0.0806863822714
182,0.0819108193156
183,0.0924592526683
184,0.0804893422176
185,0.0999903726525
186,0.0896864274329
187,0.0915620615146
188,0.0891757391367
189,0.0870191651083
190,0.084592549057
191,0.105406787729
192,0.120399509937
193,0.147023545861
194,0.0795042288783
195,0.0959416696743
196,0.102979491534
197,0.172828872051
198,0.109223412468
199,0.0947925735854
200,0.068923712059
201,0.0708768855662
202,0.0828502845364
203,0.0732770418804
204,0.0729066412818
205,0.0683626067657
206,0.0608719018226
207,0.0642309990142
208,0.073131130242
209,0.0761889986162
210,0.083301892247
211,0.0873414837522
212,0.0759921927375
213,0.0855532409475
214,0.0606993623634
215,0.0718868513693
216,0.0658792238813
217,0.0658250414076
218,0.110520010027
219,0.0573689385813
220,0.0745275110251
221,0.090353469782
222,0.0961272760476
223,0.0883966623962
224,0.0612904527752
225,0.0716797623383
226,0.0956922924426
227,0.107642966602
228,0.0848462871777
229,0.0849944753072
230,0.0844696602259
231,0.0788572551322
232,0.0891292800009
233,0.110419133525
234,0.0859667239412
235,0.0816187688027
236,0.0783500205669
237,0.083041404913
238,0.084367729479
239,0.08684054327
240,0.0744116457535
241,0.0750310239562
242,0.0829421867518
243,0.0657422025032
244,0.0632271803265
245,0.0811226228806
246,0.0769658214368
247,0.0829910321032
248,0.0762934104219
249,0.0710995254207
250,0.0655764319347
251,0.0790152790048
252,0.0711330829109
253,0.0659145199554
254,0.066455970783
255,0.0634262757892
256,0.076838855011
257,0.0714580937237
258,0.0777015378917
259,0.0621594312622
260,0.0607767632991
261,0.0613645889336
262,0.0629180270278
263,0.0810224590034
264,0.0706169198664
265,0.0697172447976
266,0.0920124682784
267,0.0806295049103
268,0.071225184394
269,0.0602360690159
270,0.0720313461719
271,0.070897035823
272,0.0656603415574
273,0.0708992214389
274,0.0666995028479
275,0.0875781964832
276,0.0744666706597
277,0.0639838292686
278,0.0705774795013
279,0.063728572217
280,0.0766121475982
281,0.0671120734698
282,0.0650772730802
283,0.0733560490047
284,0.0691836116619
285,0.0599288725265
286,0.0538655519203
287,0.0725284200209
288,0.0793889949167
289,0.0621271637394
290,0.0650742953278
291,0.0611859677004
292,0.0726996719339
293,0.0781226468073
294,0.0711125789594
295,0.0522372396198
296,0.0640350803655
297,0.0839870057431
298,0.0870023973611
299,0.0550287441099
300,0.0659812007222
301,0.0690686232291
302,0.0764306977191
303,0.0755598906296
304,0.0920271401572
305,0.0400398315814
306,0.110290445485
307,0.0934114922482
308,0.0824531410236
309,0.077025490003
310,0.0775911810395
311,0.0662538116127
312,0.0851940364708
313,0.0907066491823
314,0.0743390007455
315,0.102792228231
316,0.0937872250641
317,0.0831058952398
318,0.0964603700902
319,0.0607341512932
320,0.100933278876
321,0.0893942869392
322,0.093176519341
323,0.0884322043344
324,0.0779519919802
325,0.0717200194806
326,0.0725235778415
327,0.0645802499836
328,0.0976200222991
329,0.0804331475977
330,0.106806143713
331,0.0852424456956
332,0.100453782231
