,0,1,2,3,4,5,6
910,-10.337778577470672,-10.272334410118455,-8.157987875753728,-9.039276657790152,-9.363033908822878,-11.712696452391155,-9.421018954703653
911,-6.173373652928846,-8.050828240134972,-8.032601660843685,-6.2030705509141555,-9.143542585461514,-6.018944745972559,-5.904937887352473
912,-6.021514277160895,-9.406422584402842,-10.2745610946143,-7.609293829462662,-8.096875410994455,-6.891534172263994,-5.962970524372432
913,-4.108601801971267,-4.553724694392146,-4.109079184295373,-4.411353547303788,-5.110837743573791,-4.303339500913395,-4.142264698731557
914,-6.068225047445067,-7.83849571614174,-7.195206254991989,-6.196693473854422,-7.961822546470824,-6.59197094671909,-6.454219257154698
915,-6.625431856888086,-7.241564211062438,-6.4903122088227585,-6.510709972043028,-7.467037197994437,-6.247718529924321,-6.752932462133725
916,-6.5284527344476695,-10.87749139223121,-9.823602445307916,-8.598964625540269,-8.946340673554362,-7.964169564334855,-7.992077424886724
917,-7.043535975740169,-7.631655615143324,-8.080243982350247,-9.833038288787211,-11.380547900325487,-8.367240868600964,-8.03900842200737
918,-8.542347700571346,-9.352948948313896,-9.078935564580766,-7.954820756940297,-10.115620395304816,-7.481201818686794,-6.672890993448902
919,-9.509251465634787,-10.17734862866674,-10.858778860650443,-11.399722866732136,-8.033588780452856,-10.124699917357438,-12.736263109598893
920,-9.263321657121843,-8.689707280667042,-15.142836046730404,-9.856979326487322,-9.759107730968697,-17.01136850645944,-7.1812906943589185
921,-7.592536441451477,-8.268896036015231,-15.492592728620803,-9.497742694958898,-16.17926103662827,-12.203402658305412,-12.749262880868827
922,-10.110522982531378,-8.851428442291775,-10.619508302499373,-8.580668898070764,-12.093802369003654,-9.025428774436643,-10.178268303761321
923,-12.631606274577292,-13.0852704816622,-9.077643768251052,-13.145254832043644,-11.699857079570908,-8.34451319885016,-8.473186823966524
924,-8.269363954716137,-9.994776486719834,-6.8106683367490675,-8.091948047972805,-8.816371026372254,-7.870661021427145,-7.625013211097634
925,-8.826121374836688,-12.084085585636805,-8.278806288319316,-10.807572017106546,-10.98792910503492,-9.034382576119812,-7.650125263619981
926,-6.716742568837533,-6.677782470605846,-8.321534287201544,-7.022555784635996,-8.429310583837793,-7.141146815649731,-6.475058139539719
927,-10.456155619784235,-9.58316835890582,-16.31948975570401,-12.047676161138845,-16.492397471113698,-8.209217011426889,-10.817222413784384
928,-6.392423798468775,-9.983123552607298,-8.443158111654055,-8.095513093673866,-10.334104614009535,-7.3777218185268,-5.992111282630316
929,-12.126700636380471,-10.84438570861653,-10.351951949971301,-10.043578182013466,-10.688057057879758,-9.42655589085097,-9.895259013269706
930,-3.085044651450047,-5.112520532139432,-5.143082371110146,-4.658681780612559,-5.991513350402515,-4.267820377413887,-3.790171933763768
931,-5.41173596209712,-6.902773605657403,-9.086101923860678,-6.839722697082767,-9.362524866426686,-6.692289800457725,-5.643634838795801
932,-5.692402186959808,-8.018230940214925,-8.554447176285931,-7.0494506361202784,-7.133430747643855,-6.489084710998498,-5.93643831062726
933,-7.446963043194009,-7.243204818448694,-7.285187786270966,-9.340275510986158,-13.224158494775828,-8.813327277564097,-14.760083473227185
934,-8.187921193930881,-16.193994259034117,-7.53952559376481,-7.540806682438418,-8.113002209920896,-6.801147973526825,-7.978023488081666
935,-6.018936458185649,-6.32927129052727,-7.24193947200624,-7.4844083890806345,-12.047254383859846,-7.195315931719975,-6.015134963579684
936,-5.736320673519055,-7.326651169236449,-11.992926558089223,-7.628791094160863,-10.822354300093757,-11.478082052048807,-6.624092552871689
937,-7.5319238196735645,-8.355102661083297,-8.652665355967857,-10.95187817888191,-9.29120634965913,-6.8107889529195305,-8.375937815516115
938,-7.8691031942419905,-9.491627507939288,-10.225503323603638,-16.09637907278829,-9.72877670602746,-7.788093543512218,-9.852069276233358
939,-9.570531736755239,-9.922043138158292,-8.5020410139534,-7.6300603442352175,-10.986202382432948,-7.592310945320042,-11.289603974762523
