,MSE,QL
AUDUSD,0.000529553,0.019861504
CADUSD,0.000222153,0.018350957
CHFUSD,0.00042101,0.020120232
EURUSD,0.000412869,0.02352866
GBPUSD,0.000352823,0.028642105
JPYUSD,0.003398137,0.075116019
NOKUSD,0.000527029,0.01997568
NZDUSD,0.000539109,0.017948014
SEKUSD,0.000450283,0.012356381
Sum of MSE/QL,0.006852966,0.235899554
