,Volatility_Time,Volatility_Time.1,Volatility_Time.2,Volatility_Time.3,Volatility_Time.4,Volatility_Time.5,Volatility_Time.6
0,-12.25753279464984,-12.853090637067758,-7.470053883463342,-8.805552018781148,-9.163356030286163,-14.481345936521581,-10.853819452249496
1,-6.08032638477714,-8.274527612091367,-8.724672802294029,-6.295208030974391,-9.462595657920994,-6.161252672784292,-5.956603379461513
2,-6.041872850808303,-10.420976456256783,-9.127669213449272,-7.204192160085028,-8.317924302761993,-7.097120989948884,-6.132874441949196
3,-4.034283640895318,-4.4140543285850535,-4.171204322381787,-4.308846166064787,-5.113227987638365,-4.2488045383522905,-4.007211722256012
4,-6.413719183183092,-7.470612356184633,-5.792183360405644,-6.329481106903759,-7.727518181436756,-6.669501468878895,-6.959805216288399
5,-6.909332588949354,-7.066653534659339,-6.317135097762487,-6.528074558167491,-7.047080992837662,-6.2337678225690345,-6.2962134277826545
6,-6.307671289980826,-13.516015835178521,-10.07915247863987,-7.93628740083835,-9.10438238115492,-7.973796858742882,-7.50202867081463
7,-7.8334357693208645,-8.88631450563512,-7.930232956084002,-17.63105314813222,-15.20887237280399,-7.8267609376432405,-10.18969864364992
8,-7.970384519734187,-10.262403666390819,-8.063354820104419,-8.14921910297178,-9.282238920914535,-6.968495674629695,-6.6635922765063915
9,-9.869287690643924,-10.074273263595238,-13.76730785222677,-14.088474872003285,-7.801476039186866,-10.276307858910048,-14.313578346737364
10,-9.490894012621133,-8.626171794847476,-13.079832585082423,-10.557639575123165,-9.530235359892231,-15.449908104333195,-7.214810654730452
11,-7.566574892235658,-8.161584944396445,-11.787148018488825,-9.724620033141026,-14.544980958194078,-10.587161092669504,-10.117897830841601
12,-11.017748594573867,-8.676634579197756,-11.84255917746119,-8.404763958673726,-12.055518086383362,-9.24943306946146,-10.260624981746007
13,-12.121220054247022,-12.491805655226344,-8.594547855367844,-11.427503981135976,-12.877563941197925,-8.473231898776207,-8.485927449394627
14,-8.14929638155311,-9.816760947585227,-6.7792980878099804,-7.870017155999684,-8.944155105247406,-7.876044851161927,-7.507953356067884
15,-9.19624143229716,-11.406028605675914,-8.920523998877815,-11.73955674610105,-11.358525485086378,-8.995393267345042,-7.769834419404169
16,-6.639567487430986,-6.774934806186573,-8.767565824302618,-6.99915021709679,-8.562141430668957,-7.095800009779653,-6.684445901157059
17,-9.98615816492407,-9.299794781417189,-11.740493184053003,-11.735371345564811,-14.16565836633721,-8.376514446325121,-10.044608087671405
18,-6.462156976790865,-9.440923040762012,-8.366584499013824,-8.027329764924863,-9.940056192868743,-7.41520305226885,-5.876463968867744
19,-14.230161100479037,-10.502774552382558,-10.369268047272955,-9.771648879000466,-11.084840253328261,-9.124957661253198,-12.35370449143873
20,-3.0683132999625027,-5.026519861885935,-5.131996205866157,-4.6237718881812055,-5.982121455179838,-4.257706588079379,-3.783045717176762
21,-5.702871095235997,-6.6663495246711655,-7.751273051107723,-6.890603101784852,-9.430020387797011,-6.746394748692738,-6.179305420916607
22,-5.741856289092808,-8.175984486653569,-8.624960799027809,-6.8793998827337015,-7.042460327748669,-6.631033317092291,-5.562372094131347
23,-6.9416166380757485,-7.444071597599663,-7.315448191955892,-8.73827616749084,-17.716315732457822,-8.528563043324734,-11.787846635099305
24,-7.417143075448877,-10.668442135413278,-8.169885576962475,-7.251979021778622,-8.585178472366161,-6.978872557458932,-7.742389316165325
