,Volatility_Time,Volatility_Time.1,Volatility_Time.2,Volatility_Time.3,Volatility_Time.4,Volatility_Time.5,Volatility_Time.6
0,-12.89809269868728,-12.057773405138448,-7.628511453053478,-8.928819282388671,-8.907593818232174,-12.270133124188103,-13.71113312929226
1,-5.946815899621227,-8.200057925206412,-8.517702062019923,-6.271963014336237,-9.800111405036091,-6.0389331746024135,-5.82509501413728
2,-6.218303326494722,-10.161778707007434,-9.358834827595302,-7.286581160393205,-8.150469065323158,-7.383897989999756,-6.316371100627473
3,-4.092957417066037,-4.442522895214724,-4.144997855508222,-4.331999424680126,-5.085727460443342,-4.323586410832814,-4.057793039764789
4,-6.422423374668528,-7.541580444059736,-5.950667544576911,-6.39338098173151,-7.9322493763757596,-6.648722057822297,-6.986018550285828
5,-6.885013586567469,-7.1176138089213055,-6.428691344128683,-6.587950971097665,-7.2049584892936585,-6.184755256129497,-6.30041003133132
6,-6.2545494897534715,-13.100144921078845,-9.692247215728509,-7.988360768960922,-9.594475888432392,-7.7282345063391915,-7.426932206365135
7,-7.855442492025557,-8.717927192172281,-8.129714431629617,-12.865413716998452,-11.464802952521701,-7.971110303233412,-10.073627221122036
8,-8.116722212350236,-11.176474104045619,-8.338650358338795,-8.456330771632464,-10.078222678811844,-6.97859274869195,-6.761676459469742
9,-9.628339870094182,-9.814978959213965,-12.93717343237446,-15.338782856264295,-8.026644401687777,-11.225313227497036,-12.886522287199686
10,-9.165072006339615,-8.751046133148359,-13.712174672257563,-10.585453610410276,-9.982983279039233,-12.276979780383872,-7.112049537726799
11,-7.400027900408118,-8.253055839398039,-12.271402231059104,-9.708211218062498,-12.103303473979201,-11.94839603923164,-9.543197805876769
12,-12.135608081066717,-8.566777003522445,-11.587519224618756,-8.390676433525075,-10.938984379962585,-9.681366260645365,-11.020125193576535
13,-10.952172551197261,-13.812909251582123,-8.667208561008993,-11.225299286828982,-11.419226599109512,-8.21975204914013,-8.781632077764634
14,-8.41002658255956,-9.608713369421759,-6.793009842709713,-7.836652987372596,-8.70174343478327,-8.115839342887735,-7.656033681357383
15,-8.84696479202966,-11.05614004544072,-8.842167747243398,-12.179218104815288,-10.579606636844796,-9.351267084958616,-7.631355439444233
16,-6.774878682045216,-6.734876556853687,-8.662782658640548,-6.963910852521537,-8.323756042147169,-7.198284443755597,-6.790979410506179
17,-10.376126545441162,-9.623327045145453,-12.542372714514105,-11.006680727813594,-13.586513942139286,-8.476366018679078,-10.295885243801687
18,-6.411907948784444,-9.758209402250138,-8.52563701110698,-8.1805522966855,-10.623012887233964,-7.372758521699498,-5.860688611991935
19,-13.940191377259731,-10.059387899461802,-10.87371546117026,-10.137375693173952,-10.246254220870727,-8.991005120290373,-14.776048015400102
20,-3.051370915036997,-5.062572460520837,-5.160620211134655,-4.646211895149923,-6.066324470360511,-4.24382233161225,-3.7604524829343777
21,-5.912131321938425,-6.625657987994541,-7.758400050972259,-6.884437536838605,-9.081219818493052,-6.91596491893827,-6.3721939457112775
22,-5.903703372040246,-8.28069997301579,-8.624512663850167,-6.860387652651384,-6.936707266190359,-6.751469758800369,-5.67553486016992
23,-7.153273778904534,-7.401468322683852,-7.31046424837784,-8.649474814241561,-12.466281945787491,-8.784506438241397,-14.915833678289948
24,-7.654840344577497,-10.381640202014411,-8.128368190327599,-7.212469966363997,-8.342251658951302,-7.097963149806588,-7.981983637178416
25,-5.907770927260711,-6.603035642883368,-7.3327869479048,-7.470068559800849,-13.81387049645465,-7.040312142669966,-6.104075621716822
26,-5.786986975667772,-7.4866999481444205,-10.118467091119,-7.672416301743081,-11.633685937508714,-11.346209047874519,-6.604848919640127
27,-7.279553969832954,-8.08751277031405,-8.684916286580656,-10.707230357825152,-9.581863316516152,-6.709312632672178,-7.662341284741601
28,-8.615265534231023,-8.805520941345055,-9.906186475691875,-15.362990555884691,-10.328383887950574,-7.974012552900563,-11.085192340732414
29,-9.040388173525853,-10.651978668411113,-8.360806427220712,-7.670964304897657,-10.488766488306918,-7.444197916520992,-15.63565824124501
30,-8.467745637298602,-12.627364243645957,-9.438852269216081,-13.940268649481654,-9.526101282088234,-7.736063084344941,-8.729147039248764
31,-8.856254373165454,-11.079836569181916,-7.327422596434963,-8.46992509527967,-10.58049435091181,-7.24282758918966,-7.760840909317767
32,-6.4272147209591655,-7.98411320457319,-6.29282711005707,-7.169334766101938,-7.568197660092292,-7.047854600611903,-7.37791543918976
33,-13.988179653358797,-7.933112152790144,-7.011555070611032,-7.3767824581065,-10.639592792402752,-13.410375898199645,-11.527833355496893
34,-7.886784844840283,-12.97091539074039,-9.337687090521994,-10.12959400005352,-13.941973620117873,-8.343868091660257,-8.816111177702862
35,-7.40507785963189,-7.984845494058315,-8.137628090530752,-7.270474400480587,-8.607034096452853,-7.9875951019268845,-7.180865501721857
36,-8.215741153165524,-7.265388537756529,-7.345177597777777,-18.93249988494351,-9.154080021656076,-10.150810118434556,-7.797013749036883
37,-5.7839749998466505,-7.961862869734543,-7.447044946580809,-6.920266094132606,-8.057974463304028,-8.699800685747514,-6.396677836845346
38,-6.514130120886113,-9.547847007681776,-7.510955387652271,-6.8224097376819355,-8.824643372792778,-7.622483056424849,-7.166818272788878
39,-10.097477163190627,-10.43336600111788,-9.659739219644086,-7.840090873072086,-9.525248789964937,-7.5176663685659975,-8.58068376895276
40,-8.361990045040546,-8.649483484220788,-6.953777325636936,-7.817367533600217,-8.808121133209736,-6.534054515298566,-7.320451985811325
41,-7.222983318938405,-14.434319620542718,-12.99537981068964,-7.262663384609565,-11.95119828416179,-10.928977571881095,-9.698141751570288
42,-12.188482291957756,-8.541666173575642,-10.377960096159235,-15.772334526836975,-8.81521255546474,-15.598251711609603,-10.435212322247576
43,-6.546521477500475,-8.634791423970796,-10.715681776650971,-7.86569028372483,-8.44221328938975,-6.670757702940878,-10.647809676867066
44,-7.597889343254438,-13.269993155497458,-8.753763382635345,-7.8810980689759145,-7.89751739350928,-7.863998289667085,-9.456279049860218
45,-8.784103896860325,-11.915876398442029,-10.189662421956726,-9.817238392902059,-8.151946543315097,-8.507152733597945,-9.235907234454409
46,-7.5786181822518515,-8.30075076541881,-9.634428090428882,-7.618086848744216,-9.761551362586161,-13.634412661697997,-8.023617720913425
47,-8.343443755249602,-9.739727686782903,-9.520276472411071,-17.15838489217122,-11.501521617649669,-7.937739738740967,-9.388457790928754
48,-9.539126725837992,-12.586404054912347,-10.593531375054475,-12.692526917427237,-8.670698538836517,-9.276678594026603,-8.620552652149355
49,-8.553827456510067,-7.39015576481755,-9.727945685368505,-9.64585099749611,-8.746349048977436,-9.249422037178212,-10.092481823691049
50,-10.120184226295622,-17.16675620355978,-9.140850584901457,-10.040925933742573,-10.565193323836214,-7.753104964766568,-9.392181066111883
51,-9.472216236787345,-9.225315240447795,-10.414084985303544,-11.462014890136329,-10.162431312033064,-8.322323531592291,-10.522528471551935
52,-7.853383433617255,-10.113088930115216,-7.169442426530108,-7.196293822841339,-6.939557538647646,-6.762574986344927,-9.543202115694722
53,-7.434556816439116,-7.2318367164004735,-7.041651877798187,-7.265857047235824,-8.746187465835002,-7.270156879729178,-7.825571738053247
54,-14.890665526166273,-10.91006378838793,-9.047536335418542,-12.47848719233933,-8.28671512868949,-12.564425243378128,-12.07987796389038
55,-8.27879607615804,-13.488322123673159,-7.30048478972636,-7.461738139886348,-9.204880437769866,-7.227337643310574,-7.084097417270153
56,-7.610066999201124,-8.388740050491569,-7.6238431904954975,-7.962804744442968,-7.696801433450505,-7.991927976369221,-11.200002447331148
57,-9.48029494598223,-10.064063743507866,-7.755352813761737,-10.233940045698603,-8.97042749753163,-9.481898211478303,-8.012586642857306
58,-9.343914454756455,-10.455005876803963,-10.307659172741701,-11.222608073062336,-14.486605995090196,-7.191465906406685,-8.363290306755271
59,-11.337446725899946,-11.170485547413062,-9.963219612050748,-9.530291285371183,-11.868883900707447,-12.336435539020325,-10.327515834917223
60,-5.967545505678267,-8.810237544412404,-8.857674817330844,-9.37444815717517,-7.537146523162927,-8.004602999952086,-6.750620430768274
61,-7.249531311754232,-8.493686032678527,-9.504637888028325,-7.926169046267961,-8.44693698141745,-7.674406105101749,-7.209808637683738
