,MSE,QL
AUDUSD,0.000522289,0.019866612
CADUSD,0.000217787,0.017459423
CHFUSD,0.000415389,0.020172238
EURUSD,0.000411418,0.023106776
GBPUSD,0.000328442,0.025807278
JPYUSD,0.001069424,0.030591382
NOKUSD,0.000524576,0.018545221
NZDUSD,0.000512327,0.017415263
SEKUSD,0.000491779,0.012749191
Sum of MSE/QL,0.004493432,0.185713385
