"","MSE","QL"
"AUDUSD",0.000516349985109419,0.0195378279718439
"CADUSD",0.000269856430465117,0.0208656221264972
"CHFUSD",0.000422085106508988,0.0204395182072381
"EURUSD",0.000416801506149847,0.0238429613597567
"GBPUSD",0.000408572217568245,0.0309260610271918
"JPYUSD",0.00129880085928139,0.0352706216248072
"NOKUSD",0.000440930251905074,0.0158007836131732
"NZDUSD",0.000660509504793543,0.0209896420294543
"SEKUSD",0.000439214769670148,0.011032283914171
