,pap_PredVol
0,0.226283093357
1,0.193936351466
2,0.235148821262
3,0.151812246281
4,0.0477922816703
5,0.136024819566
6,0.154086293505
7,0.195212435535
8,0.133862726601
9,0.144231254076
10,0.15131180137
11,0.162547514377
12,0.184040674094
13,0.161981044076
14,0.165457591517
15,0.146628398048
16,0.167664254594
17,0.129123621374
18,0.139386105956
19,0.182718284914
20,0.162855585962
21,0.379024311872
22,0.179332961768
23,0.145956073579
24,0.135727548379
25,0.134856088979
26,0.108053473401
27,0.182848286792
28,0.17741271296
29,0.149175382171
30,0.159597315247
31,0.165102252087
32,0.15314134284
33,0.117474280349
34,0.133830856785
35,0.117780048625
36,0.155634484193
37,0.125102163824
38,0.0756678448207
39,0.0619917593575
40,0.0761394860952
41,0.102698049322
42,0.123819422147
43,0.101681176974
44,0.0606415044028
45,0.101157962856
46,0.107466068981
47,0.129904249883
48,0.128057505682
49,0.122155989148
50,0.106357545093
51,0.107943911156
52,0.105712270248
53,0.132136233517
54,0.0979262381625
55,0.109492479172
56,0.12493900919
57,0.0971443571316
58,0.100923157768
59,0.0940878114413
60,0.099160255809
61,0.154007687212
62,0.0979317979197
63,0.114805992549
64,0.11797201873
65,0.113150823186
66,0.115744898037
67,0.115698763498
68,0.121971043078
69,0.100184889958
70,0.163112901754
71,0.0906029120236
72,0.106713695107
73,0.105866666206
74,0.0988845980028
75,0.118399854415
76,0.127542288316
77,0.13376577714
78,0.0922721325033
79,0.0867577579464
80,0.140514431618
81,0.114116176474
82,0.105302538229
83,0.0975024736734
84,0.108031212585
85,0.0984738914176
86,0.130224273106
87,0.104217613531
88,0.0902390726134
89,0.0988551970368
90,0.116266883063
91,0.123308023937
92,0.116019528618
93,0.107746109569
94,0.0935319306498
95,0.106295324824
96,0.107240618693
97,0.116736582187
98,0.107815836951
99,0.0891796179667
100,0.107404395301
101,0.0958268214164
102,0.134940647256
103,0.107879158662
104,0.107320689061
105,0.0955615126431
106,0.102572335515
107,0.112651524037
108,0.0982938216616
109,0.0996704013752
110,0.11913941626
111,0.111907939302
112,0.0951767262774
113,0.0839315335378
114,0.0797647441574
115,0.107228430085
116,0.0996241126914
117,0.125123848074
118,0.0959265296459
119,0.10171961015
120,0.0858214159704
121,0.085049808147
122,0.0965656239398
123,0.0790918252026
124,0.0907062277388
125,0.101182887946
126,0.0897030396996
127,0.0780582954981
128,0.0826166255962
129,0.0630465354704
130,0.129241227596
131,0.0783957748918
132,0.0779682329724
133,0.0790018150256
134,0.0935521327422
135,0.0938665020581
136,0.105947057685
137,0.117266365841
138,0.103141659081
139,0.0956930946397
140,0.108880290124
141,0.114567902691
142,0.123390322228
143,0.136714667788
144,0.11185652529
145,0.115613597457
146,0.133376900968
147,0.146803416049
148,0.107683531822
149,0.0974292803015
150,0.119389371899
151,0.127301005721
152,0.1370802302
153,0.16237030319
154,0.131521564349
155,0.150707228149
156,0.139925785902
157,0.182414207182
158,0.121585693609
159,0.115976210577
160,0.128407685851
161,0.106430891149
162,0.105793237784
163,0.103676373482
164,0.123925486604
165,0.0921202007745
166,0.11889966389
167,0.117501884997
168,0.0923807116961
169,0.0871270115903
170,0.110823345702
171,0.085508266532
172,0.101808202346
173,0.142427746407
174,0.0919227372253
175,0.0819341766926
176,0.0692633287719
177,0.109087664253
178,0.0950225374666
179,0.087752345246
180,0.0935638510049
181,0.0963268713445
182,0.117540574306
183,0.095320878058
184,0.0787395913817
185,0.0910033933981
186,0.0852171982006
187,0.0820264519436
188,0.0786060276874
189,0.0870313128336
190,0.105977978013
191,0.115361008262
192,0.109389671606
193,0.109118359039
194,0.0803075067383
195,0.0862024706728
196,0.121284857848
197,0.142681434493
198,0.082096832316
199,0.0722057543976
200,0.0695844147598
201,0.0715328244379
202,0.0812318706405
203,0.0770737656183
204,0.0703108275862
205,0.0681068373121
206,0.0644307950726
207,0.0660900446844
208,0.0791289988989
209,0.0681780931744
210,0.0720248194394
211,0.10740478328
212,0.0930480060814
213,0.0865063504975
214,0.0876558018902
215,0.0713006864053
216,0.0673362383413
217,0.0737710353292
218,0.112185434005
219,0.0873607752165
220,0.090152412873
221,0.0892784242381
222,0.0939870985076
223,0.077320059084
224,0.0873938611623
225,0.0781373968832
226,0.092695574682
227,0.115201439085
228,0.0984162959299
229,0.0919771975176
230,0.088146647974
231,0.0899641565779
232,0.10255629499
233,0.0967945108209
234,0.0792256618175
235,0.0810931175413
236,0.0927660203583
237,0.083501730368
238,0.0914404502597
239,0.0882327055642
240,0.102890930509
241,0.083858819704
242,0.100274743961
243,0.0798101244169
244,0.0801856891169
245,0.0917099353283
246,0.086344384922
247,0.0889927580081
248,0.0903277077088
249,0.0826536879514
250,0.0699269106394
251,0.0769307305641
252,0.0765390316033
253,0.0668624859899
254,0.0716190577923
255,0.0713508417297
256,0.0868239395608
257,0.0762023671169
258,0.0915776591779
259,0.0645030939853
260,0.0595043783263
261,0.0649361938129
262,0.0667745892643
263,0.0737969527585
264,0.0603164432795
265,0.0949798728145
266,0.0805545005673
267,0.0911866857492
268,0.0812087303126
269,0.0597004055772
270,0.0677080241487
271,0.0675611161507
272,0.0793628661671
273,0.0820866771667
274,0.0669687403612
275,0.0831729160429
276,0.0629332367707
277,0.0557244688519
278,0.0557948322845
279,0.0566026666458
280,0.0689271267203
281,0.0693612635375
282,0.0642263686453
283,0.0701202301029
284,0.0664282593826
285,0.0726050474193
286,0.0601774742172
287,0.0744701380424
288,0.0520312280806
289,0.0457467891617
290,0.0478698043404
291,0.0608782472266
292,0.05386066178
293,0.0599213814907
294,0.0618116439781
295,0.0585039178855
296,0.0591516906126
297,0.0582316677017
298,0.0700243039837
299,0.0503557409395
300,0.100400504689
301,0.0703399990757
302,0.0683457293892
303,0.0637594929988
304,0.0811690571026
305,0.0518077705383
306,0.0936100682738
307,0.0726950022824
308,0.0808305349845
309,0.0688243919094
310,0.0689341957629
311,0.0705411773738
312,0.0725210958852
313,0.0623555134439
314,0.0668619877016
315,0.0722033827415
316,0.0673562535216
317,0.0801983107812
318,0.0692745288681
319,0.0528885754812
320,0.0748176838261
321,0.0636517284054
322,0.0763118303608
323,0.0721770081517
324,0.0665959789002
325,0.0703916487011
326,0.0671940731199
327,0.0748666829012
328,0.102956433167
329,0.0685333498072
330,0.0870484848247
331,0.081848492825
332,0.0753551383007
333,0.0748651400464
334,0.0713514357387
335,0.0819837597767
336,0.0768785024763
337,0.0702829943065
338,0.0768387626622
339,0.0605990914249
340,0.0729918243132
341,0.0829966966687
342,0.0877342415191
343,0.101434952164
344,0.093776062294
345,0.0993466931381
346,0.0933018049164
347,0.089669395994
348,0.0790225789942
349,0.0772756724134
350,0.0821437707948
351,0.0694361546392
352,0.0770010805005
353,0.0931846456286
354,0.0624331931542
355,0.0813879802712
356,0.0736602556057
357,0.122951302093
358,0.0705593755003
359,0.0817921548534
360,0.0720325321304
361,0.0754993190211
362,0.0727841354246
363,0.0556647022439
364,0.0702983376443
365,0.0616473781527
366,0.0610221092959
367,0.069904936986
368,0.0509555284271
369,0.0643290635562
370,0.072166998555
371,0.0645100025291
372,0.0933989530887
373,0.0849423543011
374,0.0803309951123
375,0.0814730768461
376,0.0746934947368
377,0.0846736532171
378,0.0779649853576
379,0.125239421925
380,0.109580458912
381,0.104554533707
382,0.0994367393982
383,0.0865554703098
384,0.0901737898739
385,0.0954951961991
386,0.0865512616057
387,0.0732735320946
388,0.0754060908518
389,0.0673066318502
390,0.0794779945272
