,0,1,2,3,4,5,6,7,8
0,-2.2339443958532583,-2.2419527546630387,-2.297450865849814,-2.3663053435716837,-2.569818569300138,-1.8808559846664992,-2.028132067728733,-2.1829027634703344,-2.0677419855506596
1,-1.8948973353352965,-2.082922728355797,-2.0287586912724116,-2.2515895790703233,-2.433894629180105,-1.7111481438747354,-1.9915013696217472,-1.703502850252143,-1.9354838652110204
2,-2.189517756372783,-2.156042869080479,-2.106206729791556,-2.4418691582952827,-2.5524611363664067,-1.839768325748304,-2.138179853705302,-2.0920647138696773,-2.1290380659283414
3,-2.203046206646641,-2.378057264753812,-2.1967878406686716,-2.3180700384171473,-2.441686129624848,-1.8691059357894957,-2.137447879637204,-1.8369037732207258,-1.9170949230908425
4,-2.161598922651918,-2.2750036635788358,-1.9672879022659409,-2.3503021207535864,-2.274100982328796,-1.751555857878569,-2.0763474486189613,-1.9380664486033699,-1.9895613947934652
5,-2.029934681769234,-2.120914112510426,-2.1648010666676814,-2.3829253406602535,-2.39743409416024,-1.9283659967470992,-2.1931896016080463,-2.05811416216979,-2.117959609913732
6,-2.0747115319084326,-2.2044593238663217,-2.193979869050754,-2.37222212821803,-2.5339344544237545,-1.8221457639565095,-2.060134816300601,-1.7534944847569947,-2.0833479188233164
7,-2.0360218815850097,-2.198309134644296,-2.1059605077285397,-2.393837472358231,-2.537141543056948,-1.7423724265814196,-2.0465504515775423,-1.9143405162845717,-1.9092705398755254
8,-2.3042810162282197,-2.4543552578131136,-2.2334027113385817,-2.4798723575666712,-2.6596384149096135,-1.890127718028855,-2.2025020325199134,-2.0715869276707166,-2.1333222785353194
9,-2.0464481858670114,-2.291071987575294,-2.0068432952171658,-2.2435419861231307,-2.4516410210016875,-1.7299212242424695,-1.9889347360247795,-2.10111796772169,-1.9749842018506514
10,-2.187349032872971,-2.2051843300003275,-2.063225991498698,-2.1567429129232876,-2.5245196200596687,-1.912807919988785,-2.002322603660981,-2.0675626579982738,-1.8456248839803555
11,-2.1405776812518207,-2.381787601574924,-2.060399665561132,-2.4089863983486977,-2.3960881574796393,-1.7924432409414504,-2.0784275590135146,-1.8850947845247004,-2.0711376416869762
12,-2.396329352934484,-2.363718549115006,-2.263755846478076,-2.5860945000355446,-2.6738437609428236,-1.8805024205271486,-2.097030123828269,-2.08093226584069,-2.1621773086367027
