,lr_PredVol
0,0.1998690160940847
1,0.1877471793588092
2,0.20034270987351496
3,0.1762632891342032
4,0.08636687374131952
5,0.11541881730685866
6,0.15825033851196774
7,0.16834706266796734
8,0.1383586792384524
9,0.15353919444689015
10,0.15097351783103366
11,0.1511948289102613
12,0.16050517470030784
13,0.16470342588978726
14,0.16396634614394165
15,0.15470076291961155
16,0.16138867722289918
17,0.14331733988885592
18,0.14240458323177685
19,0.16708283230346963
20,0.1670384652392071
21,0.2462387621470954
22,0.20396111245340884
23,0.15771076053292116
24,0.14727041324031323
25,0.1529358301296301
26,0.12285296946210751
27,0.15901112649223456
28,0.17915435296876506
29,0.15784361991663992
30,0.15264754428923086
31,0.16562633884118713
32,0.15424032865800366
33,0.13035879756256874
34,0.13665118400297105
35,0.132510361031845
36,0.14507759548396496
37,0.1347531713934661
38,0.10032351733121862
39,0.08011067426016642
40,0.0866477745716684
41,0.10005680998954901
42,0.11227226703513866
43,0.1065511928116818
44,0.07974697268067361
45,0.0931093497335735
46,0.10511028021715856
47,0.11297331161012979
48,0.11739878794375375
49,0.12430596399802525
50,0.1119787212015593
51,0.1091138272448807
52,0.10848499742589095
53,0.12308067132514784
54,0.11016360453737153
55,0.1105712851573759
56,0.1217830813527243
57,0.10966413295335999
58,0.10219008894036409
59,0.10272500368452736
60,0.10413354409508283
61,0.12854728078896446
62,0.112151521922874
63,0.110337194636897
64,0.11839769452992996
65,0.11793570311290003
66,0.11198384059143299
67,0.11767969077304224
68,0.12198351515632863
69,0.11004675312928269
70,0.13637729241087077
71,0.11170678595851291
72,0.10672411853547029
73,0.11048300493232385
74,0.10955780795668511
75,0.11070525288827243
76,0.12466404803927277
77,0.12910879275710196
78,0.1060952777693084
79,0.09620716556414566
80,0.12348901258143198
81,0.12083838869364219
82,0.10701818879415542
83,0.10527038245246004
84,0.11338580851848014
85,0.10384574682529286
86,0.11720353205160014
87,0.11261783933694955
88,0.10045338449305549
89,0.10109756114578038
90,0.11430107938424798
91,0.11742533106214899
92,0.11541792572291817
93,0.11262606583420577
94,0.1038212269261847
95,0.10623278696842194
96,0.10895229288079904
97,0.11420774923948296
98,0.11162603992152292
99,0.10073947328422973
100,0.10584044586899838
101,0.10355343282569487
102,0.11895417854005227
103,0.11362754688483255
104,0.11034092882073272
105,0.10290112780085679
106,0.10632416964824544
107,0.10971122861506435
108,0.10519115667789843
109,0.10296838914590051
110,0.11521813179372294
111,0.11467225406716236
112,0.1016454211466018
113,0.09348716310336523
114,0.09027556002268723
115,0.10202596078231133
116,0.10262072049218747
117,0.11372572401393057
118,0.10496411639668717
119,0.10367688320900087
120,0.09414869477118014
121,0.09158456687063124
122,0.09590976562646038
123,0.09032500098217501
124,0.09152345117175839
125,0.10053953801886026
126,0.09595961288428631
127,0.08468762659426231
