"","MSE","QL"
"AUDUSD",0.000767739460090706,0.0288745068296001
"CADUSD",0.000317581709402647,0.0259014803966646
"CHFUSD",0.000574390708595147,0.027503170523168
"EURUSD",0.00050512276654315,0.0293706964613849
"GBPUSD",0.00060589966186106,0.0441217946906443
"JPYUSD",0.00233041992439385,0.0608776004573147
"NOKUSD",0.000641249568019027,0.022325749728338
"NZDUSD",0.000760473594078452,0.0248060199792095
"SEKUSD",0.000605733537261721,0.0145358438408664
