,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,-2.161598922651918,-2.203046206646641,-2.189517756372783,-1.8948973353352965,-2.2339443958532583,-2.2750036635788358,-2.378057264753812,-2.156042869080479,-2.082922728355797,-2.2419527546630387,-1.9672879022659409,-2.1967878406686716,-2.106206729791556,-2.0287586912724116,-2.297450865849814,-2.3503021207535864,-2.3180700384171473,-2.4418691582952827,-2.2515895790703233,-2.3663053435716837,-2.274100982328796,-2.441686129624848,-2.5524611363664067,-2.433894629180105,-2.569818569300138,-1.751555857878569,-1.8691059357894957,-1.839768325748304,-1.7111481438747354,-1.8808559846664992,-2.0763474486189613,-2.137447879637204,-2.138179853705302,-1.9915013696217472,-2.028132067728733,-1.9380664486033699,-1.8369037732207258,-2.0920647138696773,-1.703502850252143,-2.1829027634703344,-1.9895613947934652,-1.9170949230908425,-2.1290380659283414,-1.9354838652110204,-2.0677419855506596
1,-2.029934681769234,-2.161598922651918,-2.203046206646641,-2.189517756372783,-1.8948973353352965,-2.120914112510426,-2.2750036635788358,-2.378057264753812,-2.156042869080479,-2.082922728355797,-2.1648010666676814,-1.9672879022659409,-2.1967878406686716,-2.106206729791556,-2.0287586912724116,-2.3829253406602535,-2.3503021207535864,-2.3180700384171473,-2.4418691582952827,-2.2515895790703233,-2.39743409416024,-2.274100982328796,-2.441686129624848,-2.5524611363664067,-2.433894629180105,-1.9283659967470992,-1.751555857878569,-1.8691059357894957,-1.839768325748304,-1.7111481438747354,-2.1931896016080463,-2.0763474486189613,-2.137447879637204,-2.138179853705302,-1.9915013696217472,-2.05811416216979,-1.9380664486033699,-1.8369037732207258,-2.0920647138696773,-1.703502850252143,-2.117959609913732,-1.9895613947934652,-1.9170949230908425,-2.1290380659283414,-1.9354838652110204
2,-2.0747115319084326,-2.029934681769234,-2.161598922651918,-2.203046206646641,-2.189517756372783,-2.2044593238663217,-2.120914112510426,-2.2750036635788358,-2.378057264753812,-2.156042869080479,-2.193979869050754,-2.1648010666676814,-1.9672879022659409,-2.1967878406686716,-2.106206729791556,-2.37222212821803,-2.3829253406602535,-2.3503021207535864,-2.3180700384171473,-2.4418691582952827,-2.5339344544237545,-2.39743409416024,-2.274100982328796,-2.441686129624848,-2.5524611363664067,-1.8221457639565095,-1.9283659967470992,-1.751555857878569,-1.8691059357894957,-1.839768325748304,-2.060134816300601,-2.1931896016080463,-2.0763474486189613,-2.137447879637204,-2.138179853705302,-1.7534944847569947,-2.05811416216979,-1.9380664486033699,-1.8369037732207258,-2.0920647138696773,-2.0833479188233164,-2.117959609913732,-1.9895613947934652,-1.9170949230908425,-2.1290380659283414
3,-2.0360218815850097,-2.0747115319084326,-2.029934681769234,-2.161598922651918,-2.203046206646641,-2.198309134644296,-2.2044593238663217,-2.120914112510426,-2.2750036635788358,-2.378057264753812,-2.1059605077285397,-2.193979869050754,-2.1648010666676814,-1.9672879022659409,-2.1967878406686716,-2.393837472358231,-2.37222212821803,-2.3829253406602535,-2.3503021207535864,-2.3180700384171473,-2.537141543056948,-2.5339344544237545,-2.39743409416024,-2.274100982328796,-2.441686129624848,-1.7423724265814196,-1.8221457639565095,-1.9283659967470992,-1.751555857878569,-1.8691059357894957,-2.0465504515775423,-2.060134816300601,-2.1931896016080463,-2.0763474486189613,-2.137447879637204,-1.9143405162845717,-1.7534944847569947,-2.05811416216979,-1.9380664486033699,-1.8369037732207258,-1.9092705398755254,-2.0833479188233164,-2.117959609913732,-1.9895613947934652,-1.9170949230908425
4,-2.3042810162282197,-2.0360218815850097,-2.0747115319084326,-2.029934681769234,-2.161598922651918,-2.4543552578131136,-2.198309134644296,-2.2044593238663217,-2.120914112510426,-2.2750036635788358,-2.2334027113385817,-2.1059605077285397,-2.193979869050754,-2.1648010666676814,-1.9672879022659409,-2.4798723575666712,-2.393837472358231,-2.37222212821803,-2.3829253406602535,-2.3503021207535864,-2.6596384149096135,-2.537141543056948,-2.5339344544237545,-2.39743409416024,-2.274100982328796,-1.890127718028855,-1.7423724265814196,-1.8221457639565095,-1.9283659967470992,-1.751555857878569,-2.2025020325199134,-2.0465504515775423,-2.060134816300601,-2.1931896016080463,-2.0763474486189613,-2.0715869276707166,-1.9143405162845717,-1.7534944847569947,-2.05811416216979,-1.9380664486033699,-2.1333222785353194,-1.9092705398755254,-2.0833479188233164,-2.117959609913732,-1.9895613947934652
5,-2.0464481858670114,-2.3042810162282197,-2.0360218815850097,-2.0747115319084326,-2.029934681769234,-2.291071987575294,-2.4543552578131136,-2.198309134644296,-2.2044593238663217,-2.120914112510426,-2.0068432952171658,-2.2334027113385817,-2.1059605077285397,-2.193979869050754,-2.1648010666676814,-2.2435419861231307,-2.4798723575666712,-2.393837472358231,-2.37222212821803,-2.3829253406602535,-2.4516410210016875,-2.6596384149096135,-2.537141543056948,-2.5339344544237545,-2.39743409416024,-1.7299212242424695,-1.890127718028855,-1.7423724265814196,-1.8221457639565095,-1.9283659967470992,-1.9889347360247795,-2.2025020325199134,-2.0465504515775423,-2.060134816300601,-2.1931896016080463,-2.10111796772169,-2.0715869276707166,-1.9143405162845717,-1.7534944847569947,-2.05811416216979,-1.9749842018506514,-2.1333222785353194,-1.9092705398755254,-2.0833479188233164,-2.117959609913732
6,-2.187349032872971,-2.0464481858670114,-2.3042810162282197,-2.0360218815850097,-2.0747115319084326,-2.2051843300003275,-2.291071987575294,-2.4543552578131136,-2.198309134644296,-2.2044593238663217,-2.063225991498698,-2.0068432952171658,-2.2334027113385817,-2.1059605077285397,-2.193979869050754,-2.1567429129232876,-2.2435419861231307,-2.4798723575666712,-2.393837472358231,-2.37222212821803,-2.5245196200596687,-2.4516410210016875,-2.6596384149096135,-2.537141543056948,-2.5339344544237545,-1.912807919988785,-1.7299212242424695,-1.890127718028855,-1.7423724265814196,-1.8221457639565095,-2.002322603660981,-1.9889347360247795,-2.2025020325199134,-2.0465504515775423,-2.060134816300601,-2.0675626579982738,-2.10111796772169,-2.0715869276707166,-1.9143405162845717,-1.7534944847569947,-1.8456248839803555,-1.9749842018506514,-2.1333222785353194,-1.9092705398755254,-2.0833479188233164
7,-2.1405776812518207,-2.187349032872971,-2.0464481858670114,-2.3042810162282197,-2.0360218815850097,-2.381787601574924,-2.2051843300003275,-2.291071987575294,-2.4543552578131136,-2.198309134644296,-2.060399665561132,-2.063225991498698,-2.0068432952171658,-2.2334027113385817,-2.1059605077285397,-2.4089863983486977,-2.1567429129232876,-2.2435419861231307,-2.4798723575666712,-2.393837472358231,-2.3960881574796393,-2.5245196200596687,-2.4516410210016875,-2.6596384149096135,-2.537141543056948,-1.7924432409414504,-1.912807919988785,-1.7299212242424695,-1.890127718028855,-1.7423724265814196,-2.0784275590135146,-2.002322603660981,-1.9889347360247795,-2.2025020325199134,-2.0465504515775423,-1.8850947845247004,-2.0675626579982738,-2.10111796772169,-2.0715869276707166,-1.9143405162845717,-2.0711376416869762,-1.8456248839803555,-1.9749842018506514,-2.1333222785353194,-1.9092705398755254
8,-2.396329352934484,-2.1405776812518207,-2.187349032872971,-2.0464481858670114,-2.3042810162282197,-2.363718549115006,-2.381787601574924,-2.2051843300003275,-2.291071987575294,-2.4543552578131136,-2.263755846478076,-2.060399665561132,-2.063225991498698,-2.0068432952171658,-2.2334027113385817,-2.5860945000355446,-2.4089863983486977,-2.1567429129232876,-2.2435419861231307,-2.4798723575666712,-2.6738437609428236,-2.3960881574796393,-2.5245196200596687,-2.4516410210016875,-2.6596384149096135,-1.8805024205271486,-1.7924432409414504,-1.912807919988785,-1.7299212242424695,-1.890127718028855,-2.097030123828269,-2.0784275590135146,-2.002322603660981,-1.9889347360247795,-2.2025020325199134,-2.08093226584069,-1.8850947845247004,-2.0675626579982738,-2.10111796772169,-2.0715869276707166,-2.1621773086367027,-2.0711376416869762,-1.8456248839803555,-1.9749842018506514,-2.1333222785353194
9,-2.5921169727917,-2.396329352934484,-2.1405776812518207,-2.187349032872971,-2.0464481858670114,-2.589950371911935,-2.363718549115006,-2.381787601574924,-2.2051843300003275,-2.291071987575294,-2.678557008861745,-2.263755846478076,-2.060399665561132,-2.063225991498698,-2.0068432952171658,-3.0089557262707896,-2.5860945000355446,-2.4089863983486977,-2.1567429129232876,-2.2435419861231307,-2.950101839425422,-2.6738437609428236,-2.3960881574796393,-2.5245196200596687,-2.4516410210016875,-2.5333012964184665,-1.8805024205271486,-1.7924432409414504,-1.912807919988785,-1.7299212242424695,-2.445920310312611,-2.097030123828269,-2.0784275590135146,-2.002322603660981,-1.9889347360247795,-2.4664046296360733,-2.08093226584069,-1.8850947845247004,-2.0675626579982738,-2.10111796772169,-2.2495687966982176,-2.1621773086367027,-2.0711376416869762,-1.8456248839803555,-1.9749842018506514
10,-2.3277200398699125,-2.5921169727917,-2.396329352934484,-2.1405776812518207,-2.187349032872971,-2.2478270646743055,-2.589950371911935,-2.363718549115006,-2.381787601574924,-2.2051843300003275,-2.3399160658044895,-2.678557008861745,-2.263755846478076,-2.060399665561132,-2.063225991498698,-2.5119129122231225,-3.0089557262707896,-2.5860945000355446,-2.4089863983486977,-2.1567429129232876,-2.5242484176574256,-2.950101839425422,-2.6738437609428236,-2.3960881574796393,-2.5245196200596687,-2.070503752940435,-2.5333012964184665,-1.8805024205271486,-1.7924432409414504,-1.912807919988785,-2.243840636182673,-2.445920310312611,-2.097030123828269,-2.0784275590135146,-2.002322603660981,-2.0376597789204594,-2.4664046296360733,-2.08093226584069,-1.8850947845247004,-2.0675626579982738,-2.0635784435283386,-2.2495687966982176,-2.1621773086367027,-2.0711376416869762,-1.8456248839803555
11,-2.29162402248983,-2.3277200398699125,-2.5921169727917,-2.396329352934484,-2.1405776812518207,-2.464162826536826,-2.2478270646743055,-2.589950371911935,-2.363718549115006,-2.381787601574924,-2.1309970576998323,-2.3399160658044895,-2.678557008861745,-2.263755846478076,-2.060399665561132,-2.3929528457445954,-2.5119129122231225,-3.0089557262707896,-2.5860945000355446,-2.4089863983486977,-2.572276772264306,-2.5242484176574256,-2.950101839425422,-2.6738437609428236,-2.3960881574796393,-1.7983629774449752,-2.070503752940435,-2.5333012964184665,-1.8805024205271486,-1.7924432409414504,-2.1041937754391498,-2.243840636182673,-2.445920310312611,-2.097030123828269,-2.0784275590135146,-2.025639662911833,-2.0376597789204594,-2.4664046296360733,-2.08093226584069,-1.8850947845247004,-2.0578369463006596,-2.0635784435283386,-2.2495687966982176,-2.1621773086367027,-2.0711376416869762
12,-2.120989452624836,-2.29162402248983,-2.3277200398699125,-2.5921169727917,-2.396329352934484,-2.3396813136070476,-2.464162826536826,-2.2478270646743055,-2.589950371911935,-2.363718549115006,-2.1075259981066083,-2.1309970576998323,-2.3399160658044895,-2.678557008861745,-2.263755846478076,-2.4248973989152907,-2.3929528457445954,-2.5119129122231225,-3.0089557262707896,-2.5860945000355446,-2.5437942273218836,-2.572276772264306,-2.5242484176574256,-2.950101839425422,-2.6738437609428236,-1.9022584842813182,-1.7983629774449752,-2.070503752940435,-2.5333012964184665,-1.8805024205271486,-2.080176986524454,-2.1041937754391498,-2.243840636182673,-2.445920310312611,-2.097030123828269,-2.1020957427626326,-2.025639662911833,-2.0376597789204594,-2.4664046296360733,-2.08093226584069,-2.074964502313952,-2.0578369463006596,-2.0635784435283386,-2.2495687966982176,-2.1621773086367027
13,-2.2660581546208896,-2.120989452624836,-2.29162402248983,-2.3277200398699125,-2.5921169727917,-2.121565131040962,-2.3396813136070476,-2.464162826536826,-2.2478270646743055,-2.589950371911935,-2.1921152108584914,-2.1075259981066083,-2.1309970576998323,-2.3399160658044895,-2.678557008861745,-2.417610740747842,-2.4248973989152907,-2.3929528457445954,-2.5119129122231225,-3.0089557262707896,-2.6102423042119214,-2.5437942273218836,-2.572276772264306,-2.5242484176574256,-2.950101839425422,-1.9728196719013693,-1.9022584842813182,-1.7983629774449752,-2.070503752940435,-2.5333012964184665,-1.969349006730935,-2.080176986524454,-2.1041937754391498,-2.243840636182673,-2.445920310312611,-2.13489953133508,-2.1020957427626326,-2.025639662911833,-2.0376597789204594,-2.4664046296360733,-2.0053811187417425,-2.074964502313952,-2.0578369463006596,-2.0635784435283386,-2.2495687966982176
