,pap_PredVol
0,0.167671121217
1,0.140265861512
2,0.163615973366
3,0.142272610264
4,0.278146855597
5,0.149635779825
6,0.128334730027
7,0.150762162464
8,0.135065197841
9,0.138343269688
10,0.140406346439
11,0.137989311878
12,0.137944941877
13,0.140953528502
14,0.12674363195
15,0.100134914133
16,0.104746422173
17,0.100371996708
18,0.112461259043
19,0.125963421021
20,0.121656499067
21,0.194569612226
22,0.128033043197
23,0.12389662074
24,0.102098103949
25,0.101303948848
26,0.0908468517597
27,0.109616329831
28,0.121053783978
29,0.10699843193
30,0.124620637283
31,0.124203702794
32,0.147902665882
33,0.0908105992862
34,0.079584560331
35,0.105217976445
36,0.123329984863
37,0.0928428097708
38,0.0756094942621
39,0.0631665816089
40,0.0714854777818
41,0.111271165358
42,0.0969358195012
43,0.0995527316895
44,0.0881203641501
45,0.105243363311
46,0.0971426267917
47,0.109016505509
48,0.0962599373269
49,0.0957579183816
50,0.0923982086137
51,0.108177608922
52,0.0996474911821
53,0.130194889332
54,0.0850468570792
55,0.11029313337
56,0.131719800555
57,0.0987476042812
58,0.0894226577697
59,0.102169345679
60,0.0979248435091
61,0.116878027552
62,0.0997939642505
63,0.119097023376
64,0.0833139211428
65,0.0969729608944
66,0.108582257847
67,0.116558830979
68,0.114814138514
69,0.114002194648
70,0.108797546024
71,0.0911337418111
72,0.125268623445
73,0.0867430997512
74,0.0886729478842
75,0.0980502293394
76,0.104493472583
77,0.110872754492
78,0.0890855215443
79,0.0946012050584
80,0.132880336825
81,0.0963539096044
82,0.0881263090122
83,0.0839369693296
84,0.0895242648703
85,0.0912251960163
86,0.114477375732
87,0.0891973762562
88,0.0818653517885
89,0.0901269500342
90,0.0815875669489
91,0.081623061882
92,0.0867243207874
93,0.0912941829414
94,0.0787174733123
95,0.0980665915602
96,0.116414553885
97,0.0994748811448
98,0.0992040224794
99,0.0847101234554
100,0.0861455849999
101,0.0913906998836
102,0.0997769495391
103,0.100087066441
104,0.0904106574218
105,0.0768626978896
106,0.0798129464128
107,0.079436657758
108,0.0883859487175
109,0.0765805879701
110,0.104794381953
111,0.0936422961949
112,0.0951597864064
113,0.0773739712738
114,0.0726757283586
115,0.0953890055525
116,0.0840969950075
117,0.0918549206783
118,0.0731833928619
119,0.0952878843464
120,0.0743059506939
121,0.0851442576445
122,0.0878351216709
123,0.0754405677285
124,0.0824192042394
125,0.0673284479876
126,0.0854778151217
