,pap_lnSE
304,-8.597219665181035
305,-7.929088539906139
306,-7.425731573627774
307,-9.811325029225307
308,-11.758876377978929
309,-16.178397550479826
310,-9.491400337548772
311,-7.6365608540065235
312,-10.54748030900735
313,-10.83832293257651
314,-6.49961873205332
315,-7.695545791716649
316,-12.557891339714596
317,-7.765498094136504
318,-5.976713040253556
319,-7.971751665483286
320,-8.586066192656899
321,-10.367555172069483
322,-7.581699204684438
323,-6.426078584709814
324,-10.930570303774232
325,-8.962463222246486
326,-9.084557015998836
327,-6.3498135113673415
328,-6.655722036825587
329,-11.697138703460736
330,-9.813886457371234
331,-11.064936938971906
332,-7.194499816298554
333,-8.14583566681928
334,-7.670932241965186
335,-7.226651993917259
336,-8.960503415784455
337,-10.155340259282797
338,-7.7511822237706545
339,-13.151195127151063
340,-6.982506992643243
341,-11.5884727655798
342,-8.655650763731382
343,-6.547749388954458
344,-8.257405533586422
345,-8.161261852041159
346,-11.060952799734379
347,-10.075702480628857
348,-8.427122241951642
349,-10.540906025065087
350,-14.78721405798651
351,-8.232796289423929
352,-5.722080079133787
353,-5.1573287722761645
354,-8.747253940075142
355,-8.671474228167044
356,-9.786168972869229
357,-13.189667711584484
358,-6.52363436874007
359,-6.119677776651453
360,-8.930979261517107
361,-9.63180682963276
362,-11.938735823081869
363,-6.9788957180391575
364,-6.73717662409741
365,-12.639741918162091
366,-10.04228587910852
367,-7.220742620147733
368,-9.3381986844641
369,-12.276583746058346
370,-5.477933351543759
371,-7.171387116510025
372,-6.830356880145082
373,-8.747673687548735
374,-8.118603891976994
375,-12.107791413955544
376,-10.117589672214613
377,-11.598336031763097
378,-8.076722339531285
379,-11.291147431218006
380,-8.68957920557017
381,-11.076093933106769
382,-7.5729032963791445
383,-6.566322919047937
384,-8.113430608194902
385,-11.403980751622777
386,-10.830602307132029
387,-9.15289323896824
388,-8.994602390086612
389,-6.357809751046402
