,Volatility_Time,Volatility_Time.1,Volatility_Time.2,Volatility_Time.3,Volatility_Time.4,Volatility_Time.5,Volatility_Time.6
0,-10.693120506258964,-11.36320323527611,-8.00899717005473,-8.879723075052674,-8.632550052348684,-13.442624775738322,-15.936020296283562
1,-6.4019642066085805,-9.302516476911421,-8.770238844819836,-6.631394502576061,-12.605758720051371,-6.569933450743699,-5.910540256798454
2,-5.576371658381607,-9.957641764539643,-8.57255939900338,-6.537095695554641,-7.590697625259,-6.701340554717306,-5.685222680647135
3,-4.135741065406948,-4.412998093405643,-4.061066402211591,-4.37721300708428,-5.1703500667355105,-4.411829409094026,-4.057511084013937
4,-6.072818808662135,-7.058427537383014,-5.762169962484447,-6.163108172984014,-7.550056464347468,-6.390191974403752,-6.565819162007733
5,-6.107508740478135,-6.6268425773659265,-6.244293018786614,-6.098464686038269,-6.799242828448507,-5.724198906948874,-5.722042478973171
6,-5.316141988507956,-8.019568181998322,-15.52894621840979,-6.35128297645543,-7.671765834332051,-6.286027167151687,-5.8981609297342725
7,-6.647667198662136,-7.894113013902549,-9.467060187455457,-8.201361322246967,-8.759533706660799,-6.949508180806915,-7.804604193360488
8,-10.078324957456896,-8.772850377509837,-19.600490777043436,-9.300693730623358,-9.173697687163948,-9.136390244639575,-9.63371335075658
9,-11.213003800559905,-9.816143083044288,-13.945489587148057,-11.958365721644501,-8.373422902842979,-10.33901297177374,-11.08374864258896
10,-8.203244863641777,-8.161366046250826,-13.508834465969478,-9.55658633358472,-9.670354671237941,-9.399890321930934,-6.842872519225847
11,-7.08048637651659,-8.060911454319331,-13.925290540143008,-9.172705261752185,-11.501035343984427,-13.964800653220253,-9.53783817475261
12,-9.770347700451275,-8.211918393178893,-12.076039128094319,-8.130092818021309,-9.262548762419009,-9.490080247312296,-9.768159883045287
13,-17.578466011430272,-11.23982146451905,-8.681498777817652,-10.343505992946632,-10.054262375303884,-8.068435286939257,-8.23555765489056
14,-8.008699719385538,-8.94460898373464,-6.833888882265836,-7.760210152871984,-8.82326704050764,-8.172201066067858,-7.628624781155021
15,-8.414219655866372,-13.907603369193316,-9.183260174223129,-10.279821674932478,-11.27034258369673,-9.964480005894705,-7.184744922922757
16,-6.990014917958945,-6.848033507553374,-9.453468834007529,-7.1385971144592535,-8.41794556799649,-7.19959232651803,-7.079688490558933
17,-12.41412557593264,-9.261275029951433,-9.642164225262546,-13.12591699773645,-18.619871421513803,-9.127263029935532,-12.359238614343601
18,-6.334895401155033,-9.371241399279597,-8.316063714633081,-8.069708229440788,-10.517495924082546,-6.988262082851744,-5.9107601710886195
19,-11.056462432150242,-11.324740294885991,-12.423399846638713,-9.59443378614186,-10.27860416997437,-8.420938863735753,-14.08700094727861
20,-3.053917944080465,-5.125181972789291,-5.270425574402399,-4.674410459877687,-6.131719165143548,-4.248809051818488,-3.7641659016246134
21,-5.190035606248906,-6.136094640197068,-7.005617497099959,-6.17124837570274,-8.184106873468656,-6.11593613172106,-5.549995587217198
22,-5.539563122651442,-8.643692876185403,-8.003197819367093,-6.450819549337704,-6.729800965351484,-6.252067235579448,-5.436885637879412
